Date,Equity
2016-01-19,147452
2016-01-20,147452
2016-01-21,147452
2016-01-22,147452
2016-01-25,147452
2016-01-26,147452
2016-01-27,147452
2016-01-28,147452
2016-01-29,147452
2016-02-01,147452
2016-02-02,147452
2016-02-03,147452
2016-02-04,135543
2016-02-05,130864
2016-02-08,130705
2016-02-09,129819
2016-02-10,130969
2016-02-11,130776
2016-02-12,130640
2016-02-16,132286
2016-02-17,132286
2016-02-18,132286
2016-02-19,132286
2016-02-22,132286
2016-02-23,132286
2016-02-24,132286
2016-02-25,132286
2016-02-26,132286
2016-02-29,132286
2016-03-01,132286
2016-03-02,132286
2016-03-03,131076
2016-03-04,130794
2016-03-07,127900
2016-03-08,127681
2016-03-09,129755
2016-03-10,131149
2016-03-11,133725
2016-03-14,134400
2016-03-15,134003
2016-03-16,135431
2016-03-17,135742
2016-03-18,135708
2016-03-21,136535
2016-03-22,136288
2016-03-23,135793
2016-03-24,135285
2016-03-28,134960
2016-03-29,137028
2016-03-30,138087
2016-03-31,137061
2016-04-01,137973
2016-04-04,137123
2016-04-05,135745
2016-04-06,137197
2016-04-07,136202
2016-04-08,135994
2016-04-11,135432
2016-04-12,136719
2016-04-13,138306
2016-04-14,138579
2016-04-15,139646
2016-04-18,141046
2016-04-19,138713
2016-04-20,138481
2016-04-21,139671
2016-04-22,132244
2016-04-25,133050
2016-04-26,130288
2016-04-27,129865
2016-04-28,127138
2016-04-29,127138
2016-05-02,127138
2016-05-03,127138
2016-05-04,127138
2016-05-05,127138
2016-05-06,127138
2016-05-09,127138
2016-05-10,127138
2016-05-11,127138
2016-05-12,127138
2016-05-13,127138
2016-05-16,127138
2016-05-17,127138
2016-05-18,127138
2016-05-19,127138
2016-05-20,128474
2016-05-23,127479
2016-05-24,130348
2016-05-25,131285
2016-05-26,131077
2016-05-27,132623
2016-05-31,133177
2016-06-01,132893
2016-06-02,132214
2016-06-03,130755
2016-06-06,129707
2016-06-07,129725
2016-06-08,131830
2016-06-09,131885
2016-06-10,130225
2016-06-13,130035
2016-06-14,130018
2016-06-15,130136
2016-06-16,128586
2016-06-17,125212
2016-06-20,125212
2016-06-21,125212
2016-06-22,125212
2016-06-23,125212
2016-06-24,125212
2016-06-27,125212
2016-06-28,125212
2016-06-29,125212
2016-06-30,125212
2016-07-01,125212
2016-07-05,125212
2016-07-06,125212
2016-07-07,125212
2016-07-08,125212
2016-07-11,125212
2016-07-12,125212
2016-07-13,125212
2016-07-14,124750
2016-07-15,124560
2016-07-18,126970
2016-07-19,127521
2016-07-20,128253
2016-07-21,127810
2016-07-22,128521
2016-07-25,128007
2016-07-26,127773
2016-07-27,128353
2016-07-28,129069
2016-07-29,133028
2016-08-01,133736
2016-08-02,133423
2016-08-03,133788
2016-08-04,133516
2016-08-05,135352
2016-08-08,135273
2016-08-09,135705
2016-08-10,135778
2016-08-11,135807
2016-08-12,135525
2016-08-15,135390
2016-08-16,134473
2016-08-17,134953
2016-08-18,134535
2016-08-19,134176
2016-08-22,133610
2016-08-23,133598
2016-08-24,133175
2016-08-25,133136
2016-08-26,133158
2016-08-29,133158
2016-08-30,133158
2016-08-31,133158
2016-09-01,133158
2016-09-02,133158
2016-09-06,133158
2016-09-07,133158
2016-09-08,133158
2016-09-09,133158
2016-09-12,133158
2016-09-13,133158
2016-09-14,133158
2016-09-15,133158
2016-09-16,133158
2016-09-19,133158
2016-09-20,133158
2016-09-21,133158
2016-09-22,133158
2016-09-23,133158
2016-09-26,133158
2016-09-27,133204
2016-09-28,132957
2016-09-29,131843
2016-09-30,132231
2016-10-03,131426
2016-10-04,132085
2016-10-05,132092
2016-10-06,132158
2016-10-07,131855
2016-10-10,133703
2016-10-11,133214
2016-10-12,133737
2016-10-13,132384
2016-10-14,132442
2016-10-17,132685
2016-10-18,135288
2016-10-19,136350
2016-10-20,135579
